movieId,title,genres_clean,overview_clean
949,Heat,Action Crime Drama Thriller,obsessive master thief neil mccauley leads topnotch crew various insane heists throughout los angeles while mentally unstable detective vincent hanna pursues without rest man recognizes respects ability dedication even though aware catandmouse game end violence
710,GoldenEye,Adventure Action Thriller,james bond unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapons system inflict devastating revenge britain
1408,Cutthroat Island,Action Adventure,morgan adams slave william shaw quest recover three portions treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership abilities complete quest mutiny against made yet difficult efforts british crown end pirate raids
524,Casino,Drama Crime,life gambling paradise las vegas dark mafia underbelly
5,Four Rooms,Crime Comedy,ted bellhops first night joband hotels unusual guests place outrageous predicaments seems evenings room service serving one unbelievable happening another
8012,Get Shorty,Comedy Thriller Crime,chili palmer miami mobster gets sent boss psychopathic bones barboni collect bad debt harry zimm hollywood producer specializes cheesy horror films chili meets harrys leading lady romantic sparks fly pitching own life story movie idea chili learns mobster hollywood producer really arent different
451,Leaving Las Vegas,Drama Romance,ben sanderson alcoholic hollywood screenwriter lost everything because drinking arrives las vegas drink himself death meets forms uneasy friendship noninterference pact prostitute sera
902,The City of Lost Children,Fantasy Science Fiction Adventure,scientist surrealist society kidnaps children steal dreams hoping slow aging process
63,Twelve Monkeys,Science Fiction Thriller Mystery,year convict james cole reluctantly volunteers sent back time discover origin deadly virus wiped out nearly earths population forced survivors underground communities cole mistakenly sent instead hes arrested locked mental hospital meets psychiatrist kathryn railly patient jeffrey goines son famous virus expert hold key mysterious rogue group army monkeys thought responsible unleashing killer disease
687,Dead Man Walking,Drama,justice drama based true story man death row last days forms strong relationship nun teaches forgiveness gives spirituality accompanies execution susan sarandon won oscar best female actress convincing portrayal sister helen prejean
577,To Die For,Fantasy Drama Comedy Thriller,susan wants work television therefore anything takes even means killing husband dark comedy independent director gus van sant brilliant nicole kidman leading role
2054,Mr. Holland's Opus,Music Drama Family,passionate musician glenn holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus decades roll composition unwritten generations students inspired through teaching holland redefine lifes purpose
4482,French Twist,Comedy Romance,learning husbands infidelities housewife invites itinerant lesbian move none lives ever same
880,Antonia's Line,Drama Comedy,world war antonia daughter danielle back dutch hometown antonias late mother bestowed small farm upon antonia settles down joins tightlyknit unusual community around include quirky friend crooked finger wouldbe suitor bas eventually antonia granddaughter greatgranddaughter help create strong family empowered women
2045,Unforgettable,Drama Mystery Science Fiction Thriller,ray liotta stars medical examiner acquitted wifes murder many still question innocence obsessed finding wifes killer possible solution presents itself experimental serum designed neurobiology linda fiorentino ability transfer memories one person another without consequences liotta driven solve case injects himself serum bringing closer closer finding killer bringing closer death
688,The Bridges of Madison County,Drama Romance,photographer robert kincaid wanders life housewife francesca johnson four days
103,Taxi Driver,Crime Drama,mentally unstable vietnam war veteran works nighttime taxi driver new york city perceived decadence sleaze feeds urge violent action attempting save preadolescent prostitute process
27793,The Neverending Story III: Escape from Fantasia,Fantasy,young boy restore order group bullies steal magical book acts portal earth imaginary world fantasia
568,Apollo 13,Drama,true story technical troubles scuttle apollo lunar mission risking lives astronaut jim lovell crew failed journey turning thrilling saga heroism drifting miles earth astronauts work furiously ground crew avert tragedy
414,Batman Forever,Action Crime Fantasy,dark knight gotham city confronts dastardly duo twoface riddler formerly district attorney harvey dent twoface believes batman caused courtroom accident left disfigured one side edward nygma computergenius former employee millionaire bruce wayne out get philanthropist riddler former circus acrobat dick grayson family killed twoface becomes waynes ward batmans new partner robin
1873,Beyond Rangoon,Drama Thriller,patricia arquette stars american widow laura bowman young doctor whos unwittingly drawn political turmoil while vacationing burma late fictionalized drama based actual events bowman initially left san francisco sister frances mcdormand attempt escape painful memories husband sons violent deaths fight escape thailand prove harrowing
26564,Crumb,Documentary,movie chronicles life times crumb robert crumb cartoonistartist drew keep truckin fritz cat played major pioneering role genesis underground comix through interviews mother two brothers wife exgirlfriends well selections vast quantity graphic art treated darkly comic ride through one mans subconscious mind
1572,Die Hard: With a Vengeance,Action Thriller,new york detective john mcclane back kicking badguy butt third installment actionpacked series finds teaming civilian zeus carver prevent loss innocent lives mcclane thought hed seen until genius named simon engages mcclane new partner beloved city deadly game demands concentration
8973,Lord of Illusions,Mystery Horror Thriller,during routine case private investigator harry damour stumbles members fanatic cult preparing resurrection leader nix powerful magician killed years earlier
1642,The Net,Crime Drama Mystery Thriller Action,angela bennett freelance software engineer lives world computer technology cyber friend asks bennett debug new game inadvertently becomes involved conspiracy soon turn life upside down while vacation mexico purse stolen soon finds people events seem becomes target assassination vacation ruined gets new passport embassy mexico wrong name ruth marx returns sort things out discovers ruth marx unsavory past lengthy police record make matters worse another person assumed real identity
281,Strange Days,Crime Drama Science Fiction Thriller,set year during last days old millennium movie tells story lenny nero excop now deals datadiscs containing recorded memories emotions one day receives disc contains memories murderer killing prostitute lenny investigates pulled deeper deeper whirl blackmail murder rape survive solve case
3512,Under Siege 2: Dark Territory,Action Thriller,passenger train hijacked electronics expert turned untraceable command center weapons satellite planned blow washington only one man stop former navy seal casey ryback
26258,Bushwhacked,Adventure Action Comedy Crime Family,inept courier realises used criminals deliver money run criminals police poses scout leader leads scout group hike through mountains
76,Before Sunrise,Drama Romance,dialogue marathon film fairytale love story american boy french girl during day night together vienna two hearts collide
1909,Don Juan DeMarco,Romance Drama Comedy,john arnold demarco man believes don juan greatest lover world clad cape mask demarco undergoes psychiatric treatment jack mickler cure apparent delusion psychiatric sessions unexpected effect psychiatric staff profoundly mickler rekindles romance complacent marriage
8984,Disclosure,Drama Thriller Crime Mystery Romance,computer specialist sued sexual harassment former lover turned boss initiated act forcefully threatens career personal life
4954,Drop Zone,Action Adventure Thriller,team skydiving crooks led deaagentturnedbad moncrief busey specialize landing police roofs breaking evil computer nerd steal undercover agents files sell drug lords federal marshal pete nessip snipes lost brother crew learns skydiving help toughbutlovable instructor jessie crossmann butler track down
522,Ed Wood,Comedy Drama History,mostly true story legendary worst director time help strange friends filmed countless bmovies without ever becoming famous successful
1024,Heavenly Creatures,Drama Fantasy,based true story juliet hulme pauline parker two close friends share love fantasy literature conspire kill paulines mother tries end girls intense obsessive relationship
628,Interview with the Vampire,Horror Romance,vampire relates epic life story love betrayal loneliness dark hunger overcurious reporter
11,Star Wars,Adventure Action Science Fiction,princess leia captured held hostage evil imperial forces effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo cpo rescue beautiful princess restore peace justice empire
3036,Mary Shelley's Frankenstein,Drama Horror Science Fiction Romance,based mary shelleys novel frankenstein tells story victor frankenstein promising young doctor devastated death mother during childbirth becomes obsessed bringing dead back life experiments lead creation monster frankenstein put together remains corpses long frankenstein regrets actions
1945,Nell,Drama Thriller,remote woodland cabin small town doctor discovers nell beautiful young hermit woman many secrets
241,Natural Born Killers,Crime Thriller Drama,two victims traumatized childhoods become lovers psychopathic serial murderers irresponsibly glorified mass media
527,Once Were Warriors,Drama,drama maori family lving auckland new zealand lee tamahori tells story beth hekes strong keep family together during times unemployment abuse violent alcoholic husband
101,Leon: The Professional,Thriller Crime Drama,leon top hit man new york earned rep effective cleaner nextdoor neighbors wiped out loosecannon dea agent becomes unwilling custodian yearold mathilda long mathildas thoughts turn revenge considers following leons footsteps
