movieId,title,genres,overview_clean,original_language,vote_average
862,Toy Story,Animation Comedy Family,led woody andys toys live happily room until andys birthday brings buzz lightyear onto scene afraid losing place andys heart woody plots against buzz circumstances separate buzz woody owner duo eventually learns put aside differences,en,7.7
8844,Jumanji,Adventure Fantasy Family,siblings judy peter discover enchanted board game opens door magical world unwittingly invite alan adult whos trapped inside game years living room alans only hope freedom finish game proves risky three find themselves running giant rhinoceroses evil monkeys terrifying creatures,en,6.9
15602,Grumpier Old Men,Romance Comedy,family wedding reignites ancient feud nextdoor neighbors fishing buddies john max meanwhile sultry italian divorcée opens restaurant local bait shop alarming locals worry shell scare fish away shes less interested seafood cooking hot time max,en,6.5
31357,Waiting to Exhale,Comedy Drama Romance,cheated mistreated stepped women holding breath waiting elusive good man break string lessthanstellar lovers friends confidants vannah bernie glo robin talk out determined find better way breathe,en,6.1
11862,Father of the Bride Part II,Comedy,george banks recovered daughters wedding receives news shes pregnant georges wife nina expecting planning selling home thats plan like george change arrival grandchild kid own,en,5.7
949,Heat,Action Crime Drama Thriller,obsessive master thief neil mccauley leads topnotch crew various insane heists throughout los angeles while mentally unstable detective vincent hanna pursues without rest man recognizes respects ability dedication even though aware catandmouse game end violence,en,7.7
11860,Sabrina,Comedy Romance,ugly duckling having undergone remarkable change still harbors feelings crush carefree playboy businessfocused brother something say,en,6.2
45325,Tom and Huck,Action Adventure Drama Family,mischievous young boy tom sawyer witnesses murder deadly injun joe tom becomes friends huckleberry finn boy future family tom choose honoring friendship honoring oath because town alcoholic accused murder tom huck through several adventures trying retrieve evidence,en,5.4
9091,Sudden Death,Action Adventure Thriller,international action superstar jean claude van damme teams powers boothe tensionpacked suspense thriller set against backdrop stanley cup gamevan damme portrays father whose daughter suddenly taken during championship hockey game captors demanding billion dollars games end van damme frantically sets plan motion rescue daughter abort impending explosion final buzzer,en,5.5
710,GoldenEye,Adventure Action Thriller,james bond unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapons system inflict devastating revenge britain,en,6.6
9087,The American President,Comedy Drama Romance,widowed president andrew shepherd one worlds powerful men anything wants covets sydney ellen wade washington lobbyist shepherds attempts courting spark wild rumors decimate approval ratings,en,6.5
12110,Dracula: Dead and Loving It,Comedy Horror,lawyer shows vampires doorstep falls prey charms joins search fresh blood enter van helsing only one able vanquish count,en,5.7
21032,Balto,Family Animation Adventure,outcast halfwolf risks life prevent deadly epidemic ravaging nome alaska,en,7.1
10858,Nixon,History Drama,allstar cast powers epic look american president richard nixon man carrying fate world shoulders while battling selfdestructive demands within spanning troubled boyhood california shocking watergate scandal end presidency,en,7.1
1408,Cutthroat Island,Action Adventure,morgan adams slave william shaw quest recover three portions treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership abilities complete quest mutiny against made yet difficult efforts british crown end pirate raids,en,5.7
524,Casino,Drama Crime,life gambling paradise las vegas dark mafia underbelly,en,7.8
4584,Sense and Sensibility,Drama Romance,rich dashwood dies leaving second wife daughters poor rules inheritance two daughters titular opposites,en,7.2
5,Four Rooms,Crime Comedy,ted bellhops first night joband hotels unusual guests place outrageous predicaments seems evenings room service serving one unbelievable happening another,en,6.5
9273,Ace Ventura: When Nature Calls,Crime Comedy Adventure,summoned ashram tibet ace finds himself perilous journey jungles africa find shikaka missing sacred animal friendly wachati tribe accomplish wedding wachatis princess prince warrior wachootoos ace fails result vicious tribal war,en,6.1
11517,Money Train,Action Comedy Crime,vengeful new york transit cop decides steal trainload subway fares foster brother fellow cop tries protect,en,5.4
8012,Get Shorty,Comedy Thriller Crime,chili palmer miami mobster gets sent boss psychopathic bones barboni collect bad debt harry zimm hollywood producer specializes cheesy horror films chili meets harrys leading lady romantic sparks fly pitching own life story movie idea chili learns mobster hollywood producer really arent different,en,6.4
1710,Copycat,Drama Thriller,agoraphobic psychologist female detective work together take down serial killer copies serial killers past,en,6.5
9691,Assassins,Action Adventure Crime Thriller,assassin robert rath arrives funeral kill prominent mobster only witness rival hired gun complete job grisly results horrified murder innocent bystanders rath decides take one last job return civilian life finding way out world contract killing grows ever dangerous rath falls female target becomes marked man himself,en,6.0
12665,Powder,Drama Fantasy Science Fiction Thriller,harassed classmates wont accept shocking appearance shy young man known powder struggles fit cruel taunts stop powder displays mysterious power allows incredible things phenomenon changes lives around ways never imagined,en,6.3
451,Leaving Las Vegas,Drama Romance,ben sanderson alcoholic hollywood screenwriter lost everything because drinking arrives las vegas drink himself death meets forms uneasy friendship noninterference pact prostitute sera,en,7.1
16420,Othello,Drama,evil iago pretends friend othello order manipulate serve own end film version shakespeare classic,en,7.0
9263,Now and Then,Comedy Drama Family,waxing nostalgic bittersweet passage childhood puberty tender comingofage tale four childhood girlfriends teeny chrissy samantha roberta recall magical summer during walk down memory lane reconcile experiences boys secrets bullies,en,6.6
17015,Persuasion,Drama Romance,film adaptation jane austens last novel follows anne elliot daughter financially troubled aristocratic family persuaded break engagement frederick wentworth young sea captain meager means years later money troubles force annes father rent out family estate admiral croft anne thrown company frederick now rich successful perhaps still love anne,en,7.4
902,The City of Lost Children,Fantasy Science Fiction Adventure,scientist surrealist society kidnaps children steal dreams hoping slow aging process,fr,7.6
37557,Shanghai Triad,Drama Crime,provincial boy related shanghai crime family recruited uncle cosmopolitan shanghai servant ganglords mistress,zh,6.5
9909,Dangerous Minds,Drama Crime,former marine louanne johnson lands gig teaching pilot program bright underachieving teens notorious innercity high school having terrible first day decides throw decorum wind johnson returns classroom armed nononsense attitude informed military training fearless determination better lives students matter cost,en,6.4
